"id","date","source","title","E1","E2","E3","GOLD","Model"
"1663243217_27289","2022-09-15","WSJ","Streetwise: Markets Keep Making the Same Inflation Mistake","Monetary policy famously has long and variable lags before it hits the economy - causes - the first cautious rate rise from March may not have had its effects yet
higher rates - causes - weakening demand
higher rates - causes - less will be left of the pandemic-era savings that have helped support spending","higher rates - causes - weakening demand
weakening demand - is caused by - less will be left of the pandemic-era savings that have helped support spending
Combination of weaker demand and improved supply - causes - lowering inflation","Monetary policy famously has long and variable lags before it hits the economy - causes - even the first cautious rate rise from March may not have had its effects yet, let alone the far bigger ones that followed
these higher rates - causes - weakening demand
The combination of weaker demand and improved supply - causes - lowering inflation","Monetary policy famously has long and variable lags before it hits the economy - causes - even the first cautious rate rise from March may not have had its effects yet, let alone the far bigger ones that followed
these higher rates - causes - weakening demand
weakening demand - is caused by - less will be left of the pandemic-era savings that have helped support spending
The combination of weaker demand and improved supply - causes - lowering inflation","- higher interest rates - causes - weaker demand 
- less pandemic-era savings - causes - reduced support for consumer spending 
- weaker demand and improved supply - causes - lower inflation 
- strong overall demand and fast-growing wages - causes - few signs of economic trouble that would reduce prices"
"1664267620_7071","2005-10-26","WSJ","World Watch","inflationary pressures - is caused by - high oil prices
inflationary pressures - is caused by - rapid economic growt","High inflationary pressure - is caused by - high oil prices
High inflationary pressure - is caused by - rapid economic growth","India's central bank raised short-term interest rates - causes - ease inflationary pressures 
inflationary pressures - is caused by - high oil prices
inflationary pressures - is caused by - rapid economic growth","India's central bank raised short-term interest rates - causes - ease inflationary pressures
inflationary pressures - is caused by - high oil prices
inflationary pressures - is caused by - rapid economic growth","- India's central bank raised short-term interest rates - causes - easing of inflationary pressures 
- inflationary pressures - is caused by - high oil prices and rapid economic growth 
- the Reserve Bank of India raised its economic-growth forecast for the fiscal year ending March 31 - causes - economic-growth forecast increased to between 7% and 7.5% from an earlier projection of ""around 7%"""
"1664250683_18649","2005-01-14","WSJ","SEC Is Discussing Settling Probe of Auction-Rate Bonds --- Enforcement Staff Finds Widespread Problems In Programs at 25 Firms","BLANK","BLANK","Gains in longer maturities - is caused by - some outright buying (x)","Gains in longer maturities - is caused by - some outright buying (x)","- neither factor (unspecified in this excerpt) was likely - causes - the Federal Reserve continues a measured pace of raising rates 
- outright buying of longer-maturity Treasurys - causes - gains in longer maturities"
"1664602295_8076","2022-06-28","WSJ","Consumer Staples Shares Are Bright Spot","The S&P 500's consumer-staples sector has fallen since April - is caused by - investors have grappled with higher-than-expected inflation readings
The S&P 500's consumer-staples sector has fallen since April - is caused by - downbeat earnings reports from major retailers
Walmart Inc. missed first-quarter earnings expectations - is caused by - high fuel prices
Walmart Inc. missed first-quarter earnings expectations - is caused by - high labor costs
Walmart Inc. missed first-quarter earnings expectations - is caused by - high inventory levels (x)","S&P 500's consumer staples sector has fallen - is caused by - higher-than-expected inflation readings
S&P 500's consumer staples sector has fallen - is caused by - downbeat earnings reports from major retailers
Walmart Inc. missed first-quarter earnings expectations - is caused by - high fuel prices
Walmart Inc. missed first-quarter earnings expectations - is caused by - labor costs
Walmart Inc. missed first-quarter earnings expectations - is caused by - inventory levels","The S&P 500's consumer-staples sector rose to a record in April but has fallen since then - is caused by - investors have grappled with higher-than-expected inflation readings (x) 
The S&P 500's consumer-staples sector rose to a record in April but has fallen since then - is caused by - investors have grappled with downbeat earnings reports from major retailers (x)
Walmart Inc. missed first-quarter earnings expectations - is caused by - high fuel prices
Walmart Inc. missed first-quarter earnings expectations - is caused by - labor costs
Walmart Inc. missed first-quarter earnings expectations - is caused by - inventory levels (x)","The S&P 500's consumer-staples sector rose to a record in April but has fallen since then - is caused by - investors have grappled with higher-than-expected inflation readings (x) 
The S&P 500's consumer-staples sector rose to a record in April but has fallen since then - is caused by - investors have grappled with downbeat earnings reports from major retailers (x)
Walmart Inc. missed first-quarter earnings expectations - is caused by - high fuel prices
Walmart Inc. missed first-quarter earnings expectations - is caused by - labor costs
Walmart Inc. missed first-quarter earnings expectations - is caused by - inventory levels (x)","- The S&P 500's consumer-staples sector has fallen since April - is caused by - investors grappling with higher-than-expected inflation readings and downbeat earnings reports from major retailers 
- Walmart Inc. missed first-quarter earnings expectations - is caused by - high fuel prices, labor costs and inventory levels 
- the staples sector faces risks - is caused by - continuing economic slowdown and potential margin compression"
"1695816059_3864","2023-09-27","WSJ","A Tuition Crisis Is Brewing At U.K. Universities --- While U.S. college prices keep rising, Britain caps student charges, forcing schools to cut back on teaching and research","BLANK","BLANK","Had tuition kept up with inflation - causes - {it|tuition} would be close to GBP 14,000","BLANK","- tuition fees for domestic students in England have declined by about a third since 2012 - is caused by - adjusting for inflation 
- tuition fees for domestic students in England would be close to GBP 14,000 - is caused by - tuition fees keeping up with inflation"
"1664591985_29454","2021-11-08","WSJ","U.S. News --- THE OUTLOOK: A Nation Goes All In to Cool Housing","Higher {interest} rates - causes - mortgages become more expensive
Higher {interest} rates - causes - demand for housing cools down
Higher {interest} rates - causes - dunwanted impacts on inflation
Higher {interest} rates - causes - dunwanted impacts on employment
{the country's|New Zealand's} central bank raised its benchmark interest rate to 0.5% from a record-low 0.25% and signaled more increases over the next year - is caused by - skyrocketing home prices","boosting housing supply - is caused by - direct investment
boosting housing supply - is caused by - changing land-use regulations
boosting housing supply - is caused by - restricting mortgage lending
boosting housing supply - is caused by - offering financial assistance to first-time buyers
higher rates - causes - cool demand for housing
higher rates - causes - unwanted impacts on inflation or employment
{the country's|New Zealand's} central bank raised its benchmark interest rate - is caused by - skyrocketing home prices","Governments influencing real-estate prices - is caused by - boosting housing supply (x)
boosting housing supply - is caused by - {Governments} direct investment (x)
boosting housing supply - is caused by - {Governments} changing land-use regulations (x)
Governments influencing real-estate prices - is caused by - {Governments} restricting mortgage lending (x)
Governments influencing real-estate prices - is caused by - {Governments} offering financial assistance to first-time buyers (x)
Higher rates - causes - mortgages more expensive 
Higher rates - causes - cooling demand for housing
Higher rates - causes - unwanted impacts on inflation 
Higher rates - causes - unwanted impacts on employment
{the country's|New Zealand's} central bank raised its benchmark interest rate to 0.5% from a record-low 0.25% and signaled more increases over the next year - is caused by - skyrocketing home prices","Higher rates - causes - mortgages more expensive 
Higher rates - causes - cooling demand for housing
Higher rates - causes - unwanted impacts on inflation 
Higher rates - causes - unwanted impacts on employment
{the country's|New Zealand's} central bank raised its benchmark interest rate to 0.5% from a record-low 0.25% and signaled more increases over the next year - is caused by - skyrocketing home prices","- boosting housing supply either through direct investment or changing land-use regulations - causes - influencing real-estate prices 
- Higher interest rates - causes - mortgages becoming more expensive and cooling demand for housing 
- skyrocketing home prices in New Zealand - causes - New Zealand's central bank raising its benchmark interest rate to 0.5% from a record-low 0.25% and signaling more increases over the next year"
"3S8G-9HM0-0007-J400","1985-08-13","NYT","PRODUCER PRICES UP 0.3% IN JULY","the world oil surplus - causes - energy prices keep depressed
Saudi Arabia's threat to double its oil production - causes - energy prices keep depressed
a major pipeline in Iraq is scheduled to come on line next month - causes - add to the excess
a decrease in the prices for intermediate and crude goods in July - causes - economists said that there would be little overall inflation through the end of the year","world oil surplus - causes - keep energy prices depressed
Saudi Arabia's threat to double its oil production - causes - keep energy prices depressed
keep energy prices depressed - is caused by - major pipeline in Iraq","the world oil surplus - causes - keep energy prices depressed
Saudi Arabia's threat to double its oil production - causes - keep energy prices depressed
a major pipeline in Iraq is scheduled to come on line next month - causes - adding to the excess {oil production}","the world oil surplus - causes - energy prices keep depressed
Saudi Arabia's threat to double its oil production - causes - energy prices keep depressed
a major pipeline in Iraq is scheduled to come on line next month - causes - add to the excess {oil production}
a decrease in the prices for intermediate and crude goods in July - causes - economists said that there would be little overall inflation through the end of the year","- the world oil surplus and Saudi Arabia's threat to double its oil production - causes - energy prices to remain depressed 
- a major pipeline in Iraq is scheduled to come on line next month - causes - an increase in the oil surplus 
- a decrease in the prices for intermediate and crude goods in July - causes - evidence of little overall inflation through the end of the year 
- Prices on intermediate goods fell three-tenths of 1 percent in July - causes - Prices on crude goods to decline by six-tenths of 1 percent"
"67P0-N7F1-DXY4-X35F-00000-00","2023-03-03","NYT","Market Gains After 3 Days of Losses","Shares of Salesforce soared 11.5 percent for one of the market's biggest gains - is caused by - it topped forecasts for profit and revenue last quarter (x)
{it|Salesforce} gave a stronger-than-expected forecast for upcoming results - is caused by - it topped forecasts for profit and revenue last quarter (x)
Expectations have been coming down recently for profits at big U.S. companies - is caused by - still-high inflation
Expectations have been coming down recently for profits at big U.S. companies - is caused by - still-high interest rates
several joined Salesforce in rising Thursday - is caused by - posting encouraging results (x)
Macy's rose 11.1 percent - is caused by - reporting stronger profit and revenue for the holidays than analysts expected (x)","shares of Salesforce soared - is caused by - topped forecasts for profit and revenue
Expectations have been coming down recently for profits at big U.S. companies - is caused by - still-high inflation
Expectations have been coming down recently for profits at big U.S. companies - is caused by - still-high interest rates
Macy's rose 11.1 percent - is caused by - reporting stronger profit and revenue for the holidays than analysts expected","Expectations have been coming down recently for profits at big U.S. companies - is caused by - still-high inflation
Expectations have been coming down recently for profits at big U.S. companies - is caused by - interest rates
Several {U.S. companies} joined Salesforce in rising Thursday - is caused by - encouraging results (x)
Macy's rose 11.1 percent - is caused by - stronger profit and revenue for the holidays than analysts expected (x)","Shares of Salesforce soared 11.5 percent for one of the market's biggest gains - is caused by - {it|Salesforce} topped forecasts for profit and revenue last quarter. (x)
Shares of Salesforce soared 11.5 percent for one of the market's biggest gains - is caused by - {it|Salesforce} gave a stronger-than-expected forecast for upcoming results (x)
{it|Salesforce} gave a stronger-than-expected forecast for upcoming results (x) - is caused by - {it|Salesforce} topped forecasts for profit and revenue last quarter. (x)
Expectations have been coming down recently for profits at big U.S. companies - is caused by - still-high inflation
Expectations have been coming down recently for profits at big U.S. companies - is caused by - still-high interest rates
{Several|U.S. companies} joined Salesforce in rising Thursday - is caused by - {U.S. companies} posting encouraging results (x)
Macy's rose 11.1 percent - is caused by - reporting stronger profit and revenue for the holidays than analysts expected (x)","- Shares of Salesforce soared 11.5 percent for one of the market's biggest gains - is caused by - Salesforce topped forecasts for profit and revenue last quarter 
- Salesforce gave a stronger-than-expected forecast for upcoming results - causes - Shares of Salesforce soared 11.5 percent for one of the market's biggest gains 
- Macy's rose 11.1 percent - is caused by - Macy's reported stronger profit and revenue for the holidays than analysts expected"
"1664470022_27553","2014-09-03","WSJ","World News: European Data Stoke Stimulus Hopes","inflation weakens too much - causes - it becomes harder for households to service debts
inflation weakens too much - causes - it becomes harder for businesses to service debts
inflation weakens too much - causes - it becomes harder for governments to service debts
inflation weakens too much - causes - curtail spending
inflation weakens too much - causes - curtail investing
risks get smaller - is caused by - cutting rates
risks get smaller - is caused by - stimulating the economy through bank loans
risks get smaller - is caused by - stimulating the economy through asset purchases
Hopes for new measures in Europe to combat too-low inflation intensified - is caused by - ECB President Mario Draghi said on Aug. 22 that market-based measures of inflation expectations had weakened
Hopes for new measures in Europe to combat too-low inflation intensified - is caused by - ECB President Mario Draghi said on Aug. 22 that the ECB would use all its tools to meet its inflation target of just below 2% over the medium term","inflation weakens too much - causes - it becomes harder for households, businesses and governments to service debts
inflation weakens too much - causes - curtail spending
inflation weakens too much - causes - cutrail investment
inflation weakens too much - causes - cutting rates
no more room to cut rates - causes - stimulating the economy through other means
Hopes for new measures in Europe to combat too-low inflation - is caused by - market-based measures of inflation expectations had weakened","When inflation weakens too much - causes - it becomes harder for households, businesses and governments to service debts
When inflation weakens too much - causes - curtailing spending
When inflation weakens too much - causes - curtailing investment
Hopes for new measures in Europe to combat too-low inflation intensified - is caused by - ECB President Mario Draghi said on Aug. 22 that market-based measures of inflation expectations had weakened, and that the ECB would use all its tools to meet its inflation target of just below 2% over the medium term","When inflation weakens too much - causes - it becomes harder for households to service debts
When inflation weakens too much - causes - it becomes harder for businesses to service debts
When inflation weakens too much - causes - it becomes harder for governments to service debts
When inflation weakens too much - causes - curtailing spending
When inflation weakens too much - causes - curtailing investment
no more room to cut rates - causes - stimulating the economy through other means
no more room to cut rates - causes - stimulating the economy through bank loans
no more room to cut rates - causes - stimulating the economy through asset purchases
Hopes for new measures in Europe to combat too-low inflation intensified - is caused by - ECB President Mario Draghi said on Aug. 22 that market-based measures of inflation expectations had weakened
Hopes for new measures in Europe to combat too-low inflation intensified - is caused by - ECB President Mario Draghi said on Aug. 22 that the ECB would use all its tools to meet its inflation target of just below 2% over the medium term","- inflation weakens too much - causes - households, businesses and governments find it harder to service debts 
- inflation weakens too much - causes - households, businesses and governments curtail spending and investment 
- Monetary officials combat risks of weak inflation - causes - cutting rates and stimulating the economy through other means such as bank loans and asset purchases 
- market-based measures of inflation expectations had weakened - causes - hopes for new measures by the ECB to combat too-low inflation intensified 
- ECB President Mario Draghi said on Aug. 22 that market-based measures of inflation expectations had weakened - causes - the ECB would use all its tools to meet its inflation target of just below 2% over the medium term 
- Mr. Draghi's comments - causes - put quite a lot of pressure on the ECB to act"
"1664596029_9747","2022-04-06","WSJ","Politics & Ideas: How Will Inflation End?","The current inflation is much less entrenched than the inflation of four decades ago - is caused by - fewer workers have automatic cost-of-living adjustment clauses in their contracts
The current inflation is much less entrenched than the inflation of four decades ago - is caused by - long-term inflationary expectations are much lower
lowering inflation to accaptable levels - causes - unemployment","current inflation is much less entrenched - is caused by - Fewer workers have automatic cost-of-living adjustment clauses in their contracts
current inflation is much less entrenched - is caused by - long-term inflationary expectations are much lower
{rates} increase will be modest - causes - full-on recession can be avoided","The current inflation is much less entrenched than the inflation of four decades ago - is caused by - Fewer workers have automatic cost-of-living adjustment clauses in their contracts
The current inflation is much less entrenched than the inflation of four decades ago - is caused by - long-term inflationary expectations are much lower","The current inflation is much less entrenched than the inflation of four decades ago - is caused by - Fewer workers have automatic cost-of-living adjustment clauses in their contracts
The current inflation is much less entrenched than the inflation of four decades ago - is caused by - long-term inflationary expectations are much lower
lowering inflation to acceptable levels - causes - unemployment
Rates increase will be modest - causes - full-on recession can be avoided","- Fewer workers have automatic cost-of-living adjustment clauses in their contracts - causes - long-term inflationary expectations are much lower
- The Federal Reserve can lower inflation to acceptable levels without increasing unemployment - causes - a ""full-on recession"" can be avoided"
